"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"FALL_2000","MEB 3151",1,"U0028245","GOPALAKRISHNAN, G.","CP SC 6933-001","Seminar","SEMINAR","M1225",80
"FALL_2000","MEB 3151",1,"U0034190","KESSLER, R. R.","CP SC 6934-001","Seminar","SEMINAR","F1445",60
"FALL_2000","MEB 3151",1,"U0029067","CARTER, J. B.","CP SC 6935-001","Seminar","SEMINAR","W1225",80
"FALL_2000","EMCB 114",0,"U0028553","RIESENFELD, R. F.","CP SC 6936-001","Seminar","SEMINAR","T1400|H1400",80
"FALL_2000","MEB 3151",1,"U0029088","HANSEN, C. D.","CP SC 6937-001","Seminar","SEMINAR","T1400|H1400",50
"FALL_2000","MEB 3151",1,"U0241228","THOMPSON, C. A.","CP SC 6938-001","Seminar","SEMINAR","T1500",60
"FALL_2000","MEB 3151",1,"U0028245","GOPALAKRISHNAN, G.","CP SC 6940-001","Seminar","SEMINAR","F1300",90
"FALL_2000","MEB 3151",1,"U0223232","HARRISON, R. R.","CP SC 6963-001","Adv Integrated Circuits","SPECIAL TOPICS","H1500",180
"FALL_2000","EMCB 120",0,"U0237293","WHITAKER, R. T.","CP SC 6964-001","Image Processing","SPECIAL TOPICS","M1540|W1540",80
"FALL_2000","EMCB 124",0,"U0028553","RIESENFELD, R. F.","CP SC 6965-001","Special Topics","LECTURE","T1400|H1400",80
"FALL_2000","MEB 3225",30,"U0029074","HSIEH, W. C.","CP SC 7960-001","Special Topics","SPECIAL TOPICS","T1045|H1045",80
"SPRING_2000","EMCB 105",0,"U0035573","STENGER, F.","CP SC 1000-001","Engineering Computing","LECTURE","M1255|W1255",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-002","Engineering Computing","LABORATORY","T0730|H0730",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-003","Engineering Computing","LABORATORY","T0835|H0835",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-004","Engineering Computing","LABORATORY","T0940|H0940",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-005","Engineering Computing","LABORATORY","T1045|H1045",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-006","Engineering Computing","LABORATORY","T1150|H1150",50
"SPRING_2000","EMCB 226",0,"U0035573","STENGER, F.","CP SC 1000-007","Engineering Computing","LABORATORY","T1255|H1255",50
"SPRING_2000","EMCB 102",0,"U0027837","HANSCOM, D.","CP SC 1010-001","Introduction To Unix","LECTURE","M1900",50
"SPRING_2000","EMCB 101",0,"U0027837","HANSCOM, D.","CP SC 1010-003","Introduction To Unix","LECTURE","M1610",50
"SPRING_2000","EMCB 104",0,"U0027837","HANSCOM, D.","CP SC 2010-001","Computer Science I","LECTURE","T0910|H0910",80
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-002","Computer Science I","LABORATORY","W0730",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-003","Computer Science I","LABORATORY","W0835",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-004","Computer Science I","LABORATORY","W0940",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-005","Computer Science I","LABORATORY","W1045",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-006","Computer Science I","LABORATORY","W1150",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-007","Computer Science I","LABORATORY","W1255",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2010-008","Computer Science I","LABORATORY","W1400",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-009","Computer Science I","LABORATORY","W1505",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-010","Computer Science I","LABORATORY","W1610",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-011","Computer Science I","LABORATORY","W1715",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-012","Computer Science I","LABORATORY","W0835",50
"SPRING_2000","EMCB 226",0,"U0027837","HANSCOM, D.","CP SC 2010-013","Computer Science I","LABORATORY","W1045",50
"SPRING_2000","EMCB 101",0,"U0027837","HANSCOM, D.","CP SC 2020-001","Computer Science II","LECTURE","T1225|H1225",80
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-002","Computer Science II","LABORATORY","M0730",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-003","Computer Science II","LABORATORY","M0835",50
